image_id,surface_type,surface_feature,centroid_x,centroid_y,technical_width,technical_length,max_width,max_length,total_area,aspect_ratio,perimeter,distance_to_max_width,voronoi_num_cells,convex_hull_width,convex_hull_height,convex_hull_area,voronoi_cell_area,top_area,bottom_area,left_area,right_area,vertical_symmetry,horizontal_symmetry,lateral_convexity,has_arrow,arrow_angle
qesem_cave.png,Dorsal,scar 6,557.65,817.15,NA,NA,15.26,52.17,855.5,2.55,NA,NA,NA,NA,NA,NA,36690.91,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 7,564.18,750.62,NA,NA,10.93,32.76,349.0,2.13,NA,NA,NA,NA,NA,NA,41263.94,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 8,563.55,688.09,NA,NA,16.98,54.23,833.0,2.7,NA,NA,NA,NA,NA,NA,23702.8,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 9,183.57,783.03,NA,NA,13.03,250.01,3156.0,16.67,NA,NA,NA,NA,NA,NA,10728.26,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 10,540.39,613.71,NA,NA,26.92,77.79,1246.0,2.85,NA,NA,NA,NA,NA,NA,4580.59,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 11,201.77,528.51,NA,NA,36.16,217.02,7058.0,5.27,NA,NA,NA,NA,NA,NA,38715.38,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 12,229.41,869.87,NA,NA,94.18,1110.38,68010.0,11.89,NA,NA,NA,NA,NA,NA,34328.99,NA,NA,NA,NA,NA,NA,NA,True,6.0
qesem_cave.png,Dorsal,scar 13,263.12,353.06,NA,NA,12.34,115.75,1691.5,2.24,NA,NA,NA,NA,NA,NA,51580.96,NA,NA,NA,NA,NA,NA,NA,False,NA
qesem_cave.png,Dorsal,scar 14,345.81,1043.36,NA,NA,191.57,1336.58,230076.0,4.13,NA,NA,NA,NA,NA,NA,29845.57,NA,NA,NA,NA,NA,NA,NA,True,5.0
qesem_cave.png,Dorsal,scar 15,501.34,890.05,NA,NA,132.8,1214.98,114454.5,8.14,NA,NA,NA,NA,NA,NA,7412.79,NA,NA,NA,NA,NA,NA,NA,True,351.0
qesem_cave.png,Dorsal,scar 16,277.2,368.8,NA,NA,46.48,226.5,5658.0,2.6,NA,NA,NA,NA,NA,NA,9200.64,NA,NA,NA,NA,NA,NA,NA,False,NA
